Tiempo				Temperatura(C)		Altitud(M)		Presión(PSI)		Inclinación(G)
2009 01 20::12:45:40:160	-107.01046		16.62723		-12841.85581*		0.974
2009 01 20::12:45:40:410	-105.77905		39.15933		-12841.85581		1.243
2009 01 20::12:45:40:660	-100.60373		1142.93106		-6394.84434*		1.575
2009 01 20::12:45:40:910	-98.69245		1233.37979		52.16713		2.649
2009 01 20::12:45:41:129	-113.45668		632.16099		-13183.81354		0.224
2009 01 20::12:45:41:160	-91.54771		1484.41594		52.37941		3.442
2009 01 20::12:45:41:379	-113.13155		956.36478		-13306.57932		0.435
2009 01 20::12:45:41:410	-90.23946		1562.13631		52.57851		3.999
2009 01 20::12:45:41:629	-112.21201		3864.0661		52.96179		0.688
2009 01 20::12:45:41:660	-86.53853		1603.84775		-13714.83266		4.036
2009 01 20::12:45:41:879	-111.47842		3968.69741		-13555.22645		2.04
2009 01 20::12:45:41:910	-85.92149		1664.16102		-13862.17185		4.235
2009 01 20::12:45:42:129	-106.91612		4314.87383		53.30885		2.135
2009 01 20::12:45:42:160	-76.86516		3040.15781		-13927.19569		5.438
2009 01 20::12:45:42:379	-106.81071		6043.45929		-13645.75041		2.335
2009 01 20::12:45:42:410	-74.42775		3091.77775		56.07981		5.706
2009 01 20::12:45:42:629	-101.94417		6104.55851		54.16294		2.696
2009 01 20::12:45:42:660	-71.89998		3094.10487		56.10541		6.059
2009 01 20::12:45:42:879	-99.81249		6802.71769		56.12243*		2.82
2009 01 20::12:45:42:910	-70.9217		4653.15671		56.13946		6.457
2009 01 20::12:45:43:129	-98.01055		8519.56237		-14201.64242		3.23
2009 01 20::12:45:43:160	-62.08269		4731.12143		56.29856		6.728
2009 01 20::12:45:43:379	-97.29087		9619.40084		-14273.70432		4.601
2009 01 20::12:45:43:410	-56.75052		5634.14974		56.77677		7.219
2009 01 20::12:45:43:629	-96.38396		10098.34074		56.26569		5.329
2009 01 20::12:45:43:660	-52.30735		6900.38389		56.94927		7.447
2009 01 20::12:45:43:879	-96.14631		10135.05378		56.34602		5.345
2009 01 20::12:45:43:910	-48.17737		7828.6021		56.97244		8.439
2009 01 20::12:45:44:129	-95.96468		12241.3614		56.63028		5.441
2009 01 20::12:45:44:160	-47.54051		8182.87747		56.9946		8.756
2009 01 20::12:45:44:379	-95.51021		13383.48037		56.73996		5.988
2009 01 20::12:45:44:410	-46.90015		8220.42521		58.51654		9.563
